cCREs	Enrichment
CTCF-only,CTCF-bound	0.14861142064390184
dELS	3.8407276114535938
dELS,CTCF-bound	6.287408634245588
DNase-H3K4me3	1.1809252118878928
DNase-H3K4me3,CTCF-bound	3.50638821224032
pELS	5.723802853590383
pELS,CTCF-bound	8.711227250191174
PLS	6.991340487095564
PLS,CTCF-bound	8.839420606698086
